title,price,old_price,discount_offer,image_urls,images
Digma Linx Trix 4G 16Gb Black ,6490,nan,0,https://img.mvideo.ru/Pdb/30038715m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30038715m.jpg', 'path': 'full/43864fb7da87c5c832950317e5916c4fce92b471.jpg', 'checksum': 'd171da88e24258245d9ff7133a825457'}]"
BQ mobile Strike Mini Silver Brushed (BQ-4072) ,2990,nan,0,https://img.mvideo.ru/Pdb/30030484m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30030484m.jpg', 'path': 'full/53f1b52f2065e071ffa7a91f4fbff0f6c410f13f.jpg', 'checksum': '11db144756d540820bda1c8c08d3cff3'}]"
BQ mobile Trend Gold (BQ-5009L) ,3790,nan,0,https://img.mvideo.ru/Pdb/30032363m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30032363m.jpg', 'path': 'full/bde0d48425d3964199c9a13e8886fb35d9356b91.jpg', 'checksum': '050957c5b2f8ffcee52fd2a4e98c50cc'}]"
Apple iPhone XR 256GB Blue (MRYQ2RU/A) ,70990,76990,6000,https://img.mvideo.ru/Pdb/30039936m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30039936m.jpg', 'path': 'full/f1b4eba6ca44b0018b9097305135468744c7e206.jpg', 'checksum': '28dcc0a584bd4a9570f74e23936632c3'}]"
Irbis SP517 Red ,4190,nan,0,https://img.mvideo.ru/Pdb/30042072m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30042072m.jpg', 'path': 'full/79fc752ba3a9d8bf5761c2c07895444b65256310.jpg', 'checksum': '5197b64ded068df9c81f015c4dfc9eea'}]"
Samsung Galaxy S8+ 64Gb Мистический аметист ,37490,40990,3500,https://img.mvideo.ru/Pdb/30027823m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30027823m.jpg', 'path': 'full/6492588be0e0216f4e371e20deb966a6c4b5da0e.jpg', 'checksum': '5a63a91f0bc08e973561b47d179bcab4'}]"
Sony Xperia XZ2 Compact Black DS (H8324) ,38990,nan,0,https://img.mvideo.ru/Pdb/30032586m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30032586m.jpg', 'path': 'full/5fdcc88ffb9d2068eadb742b922d43de7b4127d9.jpg', 'checksum': '5b12ca6b78ca569f952a4fd6ff50c092'}]"
Xiaomi Redmi Note 6 Pro 32Gb Blue ,16990,17990,1000,https://img.mvideo.ru/Pdb/30041010m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30041010m.jpg', 'path': 'full/8b721407a82bed06208a315d717208a52f13783f.jpg', 'checksum': '3f1b97bb773ec130c84e2fa5e43207de'}]"
ASUS Zenfone 5Z ZS620KL 64Gb (2A031RU) ,37990,nan,0,https://img.mvideo.ru/Pdb/30038738m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30038738m.jpg', 'path': 'full/3b57758e7f3dffd3a71ff8120a57e4347ad3579e.jpg', 'checksum': '46d967a723003d60c605f7b02342ee72'}]"
Digma HIT Q500 3G 8Gb Black ,3790,nan,0,https://img.mvideo.ru/Pdb/30038472m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30038472m.jpg', 'path': 'full/6ef17037e69552c0a37baa7937737dec5dc41366.jpg', 'checksum': '8becbb58842d9f04c19471a504045c25'}]"
Samsung Galaxy J5 (2017) DS Gold (SM-J530FM) ,9990,nan,0,https://img.mvideo.ru/Pdb/30028716m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30028716m.jpg', 'path': 'full/3625ae4d3fe378095933e88cf0a0a8309ad1371a.jpg', 'checksum': '0218f32f619fab82c1cb7911b12d9ddf'}]"
Nokia 7 Plus Black (TA-1046) ,22490,nan,0,https://img.mvideo.ru/Pdb/30032343m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30032343m.jpg', 'path': 'full/90caf3d6cf6d66a90fc22801e50e558ac6a0b46c.jpg', 'checksum': '8dccfb137c6224ee1e9429b0ded8164a'}]"
Samsung Galaxy A8+ (2018) Blue (SM-A730F) ,23490,nan,0,https://img.mvideo.ru/Pdb/30031881m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30031881m.jpg', 'path': 'full/a6b92fb69adeef66b7e96786252c408f562eb593.jpg', 'checksum': '49d636062551669039f17059adb42da0'}]"
Jinga Win PRO Black Blue ,7490,nan,0,https://img.mvideo.ru/Pdb/30042579m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30042579m.jpg', 'path': 'full/c9478c2a4099d5aabbb297c1d4a32c5e25e7ec33.jpg', 'checksum': '28d5d6cf93ce39d90f12686d5b50890e'}]"
Sony Xperia XA2 Plus DS Green (H4413) ,23990,nan,0,https://img.mvideo.ru/Pdb/30039898m.jpg,"[{'url': 'https://img.mvideo.ru/Pdb/30039898m.jpg', 'path': 'full/43d94fe84f318fbf59f89b5dca1f773c6b0a03d7.jpg', 'checksum': '525ae660891257acda74044db5ff7068'}]"
